hij, bij
heeft, beeft
haar, baar
had, bad
hier, bier
hun, bun
hoe, boe
ben, hen
hand, band
boven, hoven
boek, hoek
huis, buis
hart, bart
heer, beer
beide, heide
beter, heter
handen, banden
heen, been
verhaal, verbaal
boeken, hoeken
haren, baren
hooren, booren
hoog, boog
heet, beet
verhalen, verbalen
hoorde, boorde
hoort, boort
beiden, heiden
heden, beden
halen, balen
hof, bof

eentje, centje
kieken, kicken

Gent, Cent

het, hef
tot, tof
Het, Hef
staat, staaf
weet, weef
gaat, gaaf
taal, faal
laat, laaf
gaf, gat
liet, lief
geloof, geloot
Tot, Tof
kort, korf
zitten, ziften
half, halt
heet, heef
tien, fien
lof, lot
slot, slof
hof, hot
talen, falen
Laat, Laaf
slotte, sloffe
schoot, schoof
Graaf, Graat
graaf, graat
nuttig, nuffig
straffen, straften
kat, kaf
verschaffen, verschaften
let, lef
stoot, stoof
zitting, zifting

Groot, Goot
Graaf, Gaaf
Grave, Gave
Gaat, Graat
Graven, Gaven
Grooten, Gooten
Gaf, Graf
Griet, Giet
Gaan, Graan
Gijs, Grijs

het, liet
hen, lien
lief, hef
lieden, heden
heeren, lieeren
lieten, heten
liepen, hepen
her, lier
verheft, verlieft
haan, liaan
hek, liek

hein, hem
klein, klem
Hem, Hein
meen, ineen
ineens, meens
brein, brem
rein, rem
lammeren, lamineren

met, niet
niets, mets
vermeld, vernield
gemeen, genieen
genieten, gemeten
vermelden, vernielden
mes, nies
vermelde, vernielde
meten, nieten
mest, niest
meren, nieren
gemaal, geniaal
gemest, geniest
niezen, mezen
postume, postunie

zou, zon
onder, ouder
kon, kou
ben, beu
zouden, zonden
houden, honden
denken, deuken
Gent, Geut
Onder, Ouder
nou, non
kunt, knut
denk, deuk
denkt, deukt
wou, won
Zou, Zon
wonden, wouden
woud, wond



weide, wijde, weidde


